메시지 타입,보내는 사람,받는 사람,설명,상태
CREATE_ROOM,유저,서버,방 생성,완료
ENTER_ROOM,유저,서버,방 입장 요청,완료
ENTER_NEW_USER,서버,유저,새로운 유저 방 입장 알림,완료
EXIT_USER,유저,서버,유저가 방에서 나갈 때 요청,완료
EXIT_ROOM,서버,유저,유저가 방에서 나갔음을 알림,완료
KICK,유저,서버,강제 퇴장 요청,완료
KICKED,서버,유저,강제 퇴장 당한 유저 메시지,완료
